rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,Q_orb4_0_10,Q_orb5_0_10,Q_orb6_0_10,Q_orb7_0_10,Q_orb8_0_10,Q_orb9_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,Q_orb4_10_20,Q_orb5_10_20,Q_orb6_10_20,Q_orb7_10_20,Q_orb8_10_20,Q_orb9_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,Q_orb4_20_30,Q_orb5_20_30,Q_orb6_20_30,Q_orb7_20_30,Q_orb8_20_30,Q_orb9_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,Q_orb4_30_40,Q_orb5_30_40,Q_orb6_30_40,Q_orb7_30_40,Q_orb8_30_40,Q_orb9_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,Q_orb4_40_50,Q_orb5_40_50,Q_orb6_40_50,Q_orb7_40_50,Q_orb8_40_50,Q_orb9_40_50
1,w4p5_e0p0003,4.5,0.0003,8000000,3,50.0,50.0,1.7462859474493009,0 5 6 7 8 9,1 2 3 4,1.0586457768564347e-05,3.367428579302474e-05,30.0,1.7462859474493009,0.0002514010576982491,0.00037999922905333186,5.583277806650805e-05,7.169553839503351e-11,False,41.99448075518378,125.2301653499522,24.728654414644613,21.083228562484685,31.408308059352745,31.83856505702052,41.99448075518378,58.92138488781927,48.42033412324332,42.62438878446575,44.78785997901848,7.991166324984359,24.183233159732687,8.631340148573237,6.461568630441572,8.214981689108097,12.492063462783312,14.009542403021234,13.03921744158012,13.621111581854052,11.673102337419698,7.991166324984359,3.6628632448144827,9.494881808347294,2.9574782826632036,4.01524067203777,5.115899114773379,3.641012281736008,4.836393686352438,5.025374226383148,3.6628632448144827,4.5057720921282955,5.671591662951954,2.261440175815156,5.61930818080601,0.9663948510834881,1.9135439677680888,1.6925330805570784,2.5615785446456867,2.748701657879118,3.237603556375166,2.261440175815156,2.4269132189509786,2.303321707463595,1.7462859474493009,3.912384607591117,1.0181438841363228,0.5323540574843484,1.2533186035525032,1.692569236118383,1.7462859474493009,1.8315472269818045,1.9919029032623008,2.097968050602095,2.126504210714004
2,w3_e0p0003,3.0,0.0003,8000000,3,50.0,50.0,1.2546300788882176,0 5 6 7 8 9,1 2 3 4,1.2726370818462618e-05,3.5704160532429874e-05,30.0,1.2546300788882176,0.0002774860648252304,0.0005942909754240903,7.466573121900854e-05,7.188649675526904e-11,False,47.251711986235634,103.1265469077952,22.360962825222153,19.19632069915423,21.289533516326802,26.267452036262494,57.26501885098169,53.93220742040909,47.251711986235634,47.94062348021319,51.78993433073297,11.594943129695144,27.352285751527646,11.24736521049449,6.694530802746926,8.478278769466373,8.350658090545531,11.930631144482167,15.049718105975382,13.089783114390602,11.594943129695144,13.853544550599162,3.986388606875533,8.92533765944947,3.8607090592504725,5.709084844283699,5.192774888428507,4.999032594781095,4.849217702077451,4.0079591710068625,4.121995453806715,3.986388606875533,4.035261424138604,2.3471274937877054,6.248707587648464,2.0732504195345864,2.030540585884409,3.0802352136971485,2.768873765021487,3.104431351332899,2.652846972735168,3.9652774063721177,3.3748326720141493,2.3471274937877054,1.2546300788882176,3.0042313184838987,1.1791017921104747,1.5123480302278127,1.6977597747256425,2.7421746592892924,1.8458000860082053,2.099577533213136,1.9342635645736093,1.2546300788882176,1.4496081699840324
3,w6_e0p0003,6.0,0.0003,8000000,4,50.0,50.0,1.2379601100209818,0 5 6 7 8 9,1 2 3 4,1.2010362687957394e-05,3.22851491300812e-05,30.0,1.2379601100209818,0.0002490369204287427,0.00039833868960694504,6.524027406204143e-05,7.193357021151314e-11,False,42.1690107855223,89.03838477081487,15.360740098820767,18.977437940288475,19.086380692399175,20.69390344746675,50.2738642883019,57.478681558432925,42.65177900852559,48.283578206990924,42.1690107855223,9.27272383225373,26.171667239469578,7.065373086894166,6.639562524846947,8.62589789468431,9.992033807277208,14.796565346776706,15.093782460173879,14.720981137207216,10.528907575350557,9.27272383225373,3.7012753781628174,8.392680077302893,1.9213529462901802,2.06612038310032,4.30075876395885,3.5437417317488373,4.85638404430805,4.002355924248507,4.761861381062644,3.7012753781628174,3.798990865291949,2.1697513343292765,4.275136254771532,0.47310166887896427,1.2219316243965817,2.1440346356838593,3.13806698953732,3.2216587967134016,2.7469747370018225,2.707860937983123,3.082725389261986,2.1697513343292765,1.2379601100209818,3.7248484035231506,0.8327776421070646,0.5570723505035822,0.7342158904508574,1.3066073136587726,1.4867997639538455,2.1683451997345813,1.423293128630496,1.4494304426899316,1.2379601100209818
4,w7p5_e0p0006,7.5,0.0006,8000000,4,50.0,50.0,1.1637537961480477,0 5 6 7 8 9,1 2 3 4,8.92828914455851e-05,8.009459944259427e-05,30.0,1.1637537961480477,0.0006954533151179306,0.001477576461802821,0.0002395652237919882,6.389289097796791e-11,False,48.35911638794048,128.7685357801345,22.37385819251628,36.42454243024856,24.687495232197158,25.645166937521033,60.0727296484943,63.23103680474907,48.45426177572786,67.55927238871772,48.35911638794048,8.62813929719358,25.73207326403153,6.242944910229142,8.449502307890858,7.5282659236824685,8.469632239243971,14.905583963416884,12.13455262474075,14.192731408992318,9.751767671503673,8.62813929719358,3.7976244926216904,8.242211504175305,1.4062940766107719,2.4493891218250377,3.7146095049652783,5.448815199689997,5.387966374410305,4.90217913256394,4.709333720196676,3.7976244926216904,4.476506510092439,2.046055741195564,5.1605173720457245,0.8539695862300587,0.885756612750424,1.4255791865393177,2.1889823151109606,2.0870647146663166,3.557467458261143,2.321122083634008,2.470485682717874,2.046055741195564,1.1637537961480477,3.0017407102170224,0.8754819783865937,0.49889078714372875,0.3240218647270197,1.4743247540014273,1.2267579058845521,1.1637537961480477,1.5049249283030641,1.279896493173674,1.5497336998022666
5,w4p5_e0p0009,4.5,0.0009,8000000,3,50.0,50.0,1.0905929092477116,0 5 6 7 8 9,1 2 3 4,0.0002234304998235328,0.0001582171641509812,30.0,1.0905929092477116,0.001609091789911151,0.004152111654981712,0.0006560642510072591,6.413269915128694e-11,False,43.18110654659612,114.1387570903458,34.23852363469558,27.2689399804286,36.57962186667081,29.298620912702773,62.22696835980903,58.223587681160524,43.18110654659612,57.17972965651129,50.61776382929822,10.66909180642504,25.840890798092108,16.6260933684143,9.626307583987927,13.178003732639809,13.0611975704958,17.78984531400383,17.277631210542125,11.95435316518193,14.448721781576223,10.66909180642504,3.6800743058670213,10.395978391260668,2.786484354037793,4.678854289721334,5.851404951162781,5.674054054790798,4.059325021478849,4.107698729434033,4.3373976036200546,4.450434698293372,3.6800743058670213,1.3401229683481974,3.9267962799229412,1.2593910827392385,1.5175319555532714,2.692402678544959,3.1595525593327145,2.159663945616584,2.684119190867378,1.3401229683481974,1.8758613178937102,2.078918528551042,1.0905929092477116,2.7200996951372676,0.476756848179854,0.9457196434045794,1.0960346006370336,1.7625632204347266,1.8892061068852546,1.2429003643581704,1.5755933248300678,1.1466554348274032,1.0905929092477116
6,w9p5_e0p0009,9.5,0.0009,8000000,5,50.0,50.0,0.8609330768905722,0 5 6 7 8 9,1 2 3 4,0.00028710610692906925,0.000132316608872916,30.0,0.8609330768905722,0.0014607452617064385,0.0040302242949053465,0.000674752229031467,6.341505098816924e-11,False,48.283400675388854,133.505760294729,38.07339537807054,29.832352959043913,34.31641884187389,29.157618858121428,57.16606354100185,53.7878569203899,62.81793460653535,49.48068599636592,48.283400675388854,9.423952766065195,30.23080775566319,5.362459469125766,8.68919015153546,8.254770563220706,9.93182703198665,16.742692581246406,15.348063949421755,14.714149341630538,10.473195432267744,9.423952766065195,3.985928344080535,8.919392914334546,1.2346204670173744,1.629258187536764,2.286016989603623,4.288938221089745,5.479544613372075,4.0835959393155745,4.190552784351237,4.591509455717808,3.985928344080535,1.1905854262736821,3.3915583565610365,0.23257347272740037,0.5138952903074153,1.04057555055565,1.7416769388227873,2.321459274576824,2.3568183338727606,1.2536766201195673,1.1905854262736821,1.5844894359716413,0.8609330768905722,2.273775753868923,0.6217722812639384,0.28443914583754576,0.2545971497831055,0.3505177853456181,2.2369457326906668,1.5604673318506108,0.897009519281849,1.1146278849800986,0.8609330768905722
7,w7p5_e0p0009,7.5,0.0009,8000000,5,50.0,50.0,0.8216130933023061,0 5 6 7 8 9,1 2 3 4,0.00023176227664091368,0.0001392638646500896,30.0,0.8216130933023061,0.00144042916656731,0.004022654833562569,0.0006622643617709642,6.294342824730847e-11,False,47.056415721677844,111.02171554696403,40.20966813259988,31.60970976081909,40.051936032561784,29.872462197859832,57.10107675191196,61.016720981426836,51.77182066895171,47.056415721677844,49.08392860469722,10.028759546728672,25.944619216818634,7.349582564565497,7.183665436665529,10.91453661814378,11.753082429786687,14.919106242488166,14.443557522666712,11.852363813076641,10.389203306505449,10.028759546728672,3.7849707124209804,8.853709848636708,1.3426347422258647,2.2540192717889087,3.44764054060371,3.473806256333843,4.577479611799481,4.145391818406155,4.364187129011951,3.7849707124209804,4.517639984374622,1.536262009007839,5.357462038872592,0.6473168182268719,0.7479682751046544,1.1431919496764402,1.5990094609710304,2.365332511631093,2.182810115973042,2.2022345097264187,1.536262009007839,2.208869065227346,0.8216130933023061,2.4516320561495446,0.8092364029030772,0.35397000613476415,0.6242450008400866,1.2511590206016103,2.0629912497556244,1.3219672650435133,0.8216130933023061,0.8927960818746715,0.8332843367992877
8,w4p5_e0p0006,4.5,0.0006,8000000,3,50.0,50.0,0.6640716529923302,0 5 6 7 8 9,1 2 3 4,7.206957594681527e-05,8.189913595084246e-05,30.0,0.6640716529923302,0.0006416212701182746,0.0010874793307221766,0.0003030827721887315,6.371614347244758e-11,False,46.58465515880982,115.62467061307301,45.66791878482592,21.326160578204227,29.5354095581519,21.65722154830469,53.198782558092255,76.88795518755077,48.442265275600555,46.58465515880982,55.870345403601064,12.082745581820454,31.889277566486687,7.040046709013329,14.685819706509998,10.528730845904546,8.034287626065595,17.151581881086475,14.292546133597272,15.355635908563892,12.082745581820454,15.283772253352735,3.9853515137132454,7.581573847598812,3.7812208061390438,4.665598268869177,5.560513755118052,6.617738509314622,5.105278358904838,4.606560922982118,4.231461233904199,3.9853515137132454,4.233264180225145,2.114611014242475,4.523339060588925,1.2455666788723205,1.4689655977932634,2.607370475628164,2.3139536441702333,2.391864650442531,2.330784205648354,2.337663297177758,2.114611014242475,2.1176739920488727,0.6640716529923302,1.4757696603125867,0.5900274945502054,1.5256779821725632,1.1783862514432097,1.552565879625334,1.4818367086754307,1.2829182057282387,1.189361706956603,0.6640716529923302,1.1872940725682226
9,w6_e0p0009,6.0,0.0009,8000000,4,50.0,50.0,0.610430963457002,0 5 6 7 8 9,1 2 3 4,0.0002745978604362662,0.00014556429428532787,30.0,0.610430963457002,0.0011440357371889673,0.0020078873080402624,0.0006993301814606272,6.333422675197653e-11,False,45.311560905567696,168.87969907203075,28.114132858570684,43.02527575968654,39.05716935378817,32.870460395774295,66.67050911955751,54.17500110950569,68.20594093578845,48.05658215164872,45.311560905567696,9.05700278538219,24.31423860317958,10.796540835642398,8.952423399895396,11.025184027040343,8.94908951612648,14.514592381908884,13.638482487326446,10.373492680769816,10.454775138882141,9.05700278538219,3.5124784511358054,6.834425605527682,2.0641313080004315,2.7968646571146314,4.490542038643982,4.615833509200171,4.45685795067745,3.779798224225211,3.5124784511358054,5.288752189749905,3.5417502296047028,1.420319657149753,3.86360095807656,0.6728293430950265,0.8706128025333948,2.2969207960165923,1.85543632525587,1.8494169279057595,3.4013602158022422,2.4480088181518327,1.6693526487516788,1.420319657149753,0.610430963457002,1.353047663742475,0.4464201899084013,0.46061534976641433,0.41858153160794864,1.0194563356107462,0.8814608832181792,0.7849345839974039,0.6205477900499876,0.610430963457002,0.716966647761625
10,w6_e0p0006,6.0,0.0006,8000000,5,50.0,50.0,0.5751324012764176,0 5 6 7 8 9,1 2 3 4,7.004796199167915e-05,8.183227493756283e-05,30.0,0.5751324012764176,0.0006633975684210028,0.0013691635640140309,0.0002462955638199489,6.399059060413492e-11,False,48.41255683773471,109.68034813073447,26.158618101973367,23.983669580776642,36.679605527302655,29.091504782143,48.41255683773471,60.31164755587733,58.18819961915189,49.26136096654712,53.7647329277767,9.488950902881303,27.79479205247508,7.7733698112724445,7.320998030113868,9.2838570935611,9.64507673517945,14.999996817330661,11.886617491116434,12.24831252748225,9.488950902881303,9.960951956509875,3.8253674952626957,8.981510658334193,2.102058467299066,2.832661742146711,3.893573246033927,5.349891484203735,4.573576476117163,4.847171187163745,3.9734334173745993,4.34696747331861,3.8253674952626957,1.6418591274093388,5.623966535525687,1.371317428822706,0.9886647148453835,1.9404222788829846,2.6199511588159377,3.322864364632411,2.9824399376164092,1.6418591274093388,2.464068495934326,2.3712240711886396,0.5751324012764176,2.339295429076213,0.5355152243374689,0.3917448823523356,1.0248534289182705,1.3775380039137655,1.935653720012524,1.5679434211578842,0.5751324012764176,1.200349285973374,0.9016366150332541
